id,drug_name,category,quantity,expiration_date,supplier,batch_number,price_per_unit,lead_time_days,average_daily_demand,std_dev_demand
1,Sudrox,Antibiotic,1500,31/12/2025,PharmaCorp,BATCH001,2.5,180,8.33,1.67
2,Hifer,Supplement,1200,30/06/2026,HealthInc,BATCH002,1.75,180,6.67,1.33
3,Triokit,Antifungal,2000,15/09/2025,PharmaCorp,BATCH003,3,180,11.11,2.22
4,Amoxicillin,Antibiotic,800,20/11/2024,BioMed,BATCH004,1.2,180,4.44,0.89
5,Insulin,Diabetes,500,01/10/2024,HealthInc,BATCH005,5,180,2.78,0.56
6,Vitamin C,Supplement,3000,01/01/2027,SuppCo,BATCH006,0.8,180,16.67,3.33
7,Atorvastatin,Cholesterol,900,15/03/2025,BioMed,BATCH007,2,180,5,1
8,Metformin,Diabetes,1100,28/02/2026,PharmaCorp,BATCH008,1.5,180,6.11,1.22
9,Paracetamol,Pain Relief,2500,30/11/2025,AfriPharma,BATCH009,0.5,180,13.89,2.78
10,Ciprofloxacin,Antibiotic,700,10/08/2025,BioMed,BATCH010,2.8,180,3.89,0.78
11,Ibuprofen,Pain Relief,1800,31/03/2026,HealthInc,BATCH011,0.9,180,10,2
12,Artemether,Antimalarial,600,20/07/2025,AfriPharma,BATCH012,3.5,180,3.33,0.67
13,Lisinopril,Hypertension,950,15/01/2026,PharmaCorp,BATCH013,2.2,180,5.28,1.06
14,Omeprazole,Antacid,1300,31/10/2025,SuppCo,BATCH014,1.3,180,7.22,1.44
15,Azithromycin,Antibiotic,850,30/04/2025,BioMed,BATCH015,2.7,180,4.72,0.94
16,GynecMed1,Gynecology,1000,15/05/2026,MediSupply,BATCH016,4,180,5.56,1.11
17,PedMed1,Pediatrics,1200,30/04/2026,AfroMed,BATCH017,3.5,180,6.67,1.33
18,AntiInfMed1,Anti-Infective,1500,31/12/2025,HealthLink,BATCH018,2.8,180,8.33,1.67
19,AntiMalMed1,Anti-Malarial,800,20/11/2025,PharmaGlobal,BATCH019,3.2,180,4.44,0.89
20,CardioMed1,Cardio-Diabetic,1100,28/02/2026,BioHealth,BATCH020,4.5,180,6.11,1.22
21,GynecMed2,Gynecology,900,31/10/2025,MediCorp,BATCH021,4.2,180,5,1
22,PedMed2,Pediatrics,1300,15/09/2025,AfriHealth,BATCH022,3,180,7.22,1.44
23,AntiInfMed2,Anti-Infective,700,10/08/2025,GlobalPharma,BATCH023,2.6,180,3.89,0.78
24,AntiMalMed2,Anti-Malarial,950,15/01/2026,HealthSolutions,BATCH024,3.4,180,5.28,1.06
25,CardioMed2,Cardio-Diabetic,850,30/04/2025,PharmaSolutions,BATCH025,4,180,4.72,0.94
26,GynecMed3,Gynecology,1000,15/05/2026,MediSolutions,BATCH026,4.1,180,5.56,1.11
27,PedMed3,Pediatrics,1200,30/04/2026,AfroSolutions,BATCH027,3.6,180,6.67,1.33
28,AntiInfMed3,Anti-Infective,1500,31/12/2025,GlobalSolutions,BATCH028,2.9,180,8.33,1.67
29,AntiMalMed3,Anti-Malarial,800,20/11/2025,BioHealthSolutions,BATCH029,3.3,180,4.44,0.89
30,CardioMed3,Cardio-Diabetic,1100,28/02/2026,HealthPharma,BATCH030,4.6,180,6.11,1.22
